Name,Industry,Descripiton,Email,Phone,Address,Website,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Oak Lavender Farm & Purple Wolf Vineyard,Agritourism / Farm & Winery,"Family-friendly wellness, outdoor learning, sensory experiences",whiteoaklavender@gmail.com,540-421-6345,"2644 Cross Keys Road Harrisonburg, VA 22801",https://whiteoaklavender.com/pages/contact-us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back Home on the Farm,Agritourism Farm,"Family recreation, seasonal outdoor activities",,540-442-6493,"2915 Willow Run Rd. Harrisonburg, VA 22802",https://www.backhome-onthefarm.com/contact-us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruby's Arcade,Arcade / Bowling / Restaurant,Family recreation; youth-friendly facility,events@clementinecafe.com,540-615-5351,165 S. Main Street #100B,https://rubysarcade.com/contact-rubys-arcade-harrisonburg-va-arcade-games-barcade-arcades-downtown-harrisonburg-arcade-games-and-arcade-duckpin-bowling-skeeball-wood-fired-pizza/,Event space available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OASIS Fine Art & Craft,Artists' Co-op / Gallery,Local arts community; inclusive programming,askoasisart@gmail.com,540-442-8188,"103 S. Main St. Harrisonburg, VA 22801",https://www.oasisfineartandcraft.org/contact,Downtown co-op,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any Given Child Harrisonburg,Arts Education Initiative,Equitable arts access for K8 students,,,"Harrisonburg, VA",https://www.agcshenvalley.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steven Toyota,Auto Dealer,Local sponsorships and youth programs,,540-434-1400,"2970 S Main St, Harrisonburg, VA 22801",https://www.steventoyota.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dick Myers Chrysler Dodge Jeep Ram,Auto Dealer,Community partnerships,,540-534-0166,"1711 S Main StHarrisonburg, VA 22801-2730",https://www.dickmyerschryslerdodgejeep.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluestone Bike & Run,Bike & Run Retail,Active living; supports local races and group rides,,540-434-5151,"1570 S. Main St. Harrisonburg, VA 22801",https://bluestonebikerun.com/contact,Independent shop; run community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shenandoah Bicycle Company,Bike Shop / Retail,"Active living, safe cycling, youth programs",info@shenandoahbicycle.com,540-437-9000,"135 South Main Street Harrisonburg, VA 22801",https://www.shenandoahbicycle.com/contact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brothers Craft Brewing,Brewery,"Community events, local philanthropy campaigns",,540-421-6599,"800 N. Main St. Harrisonburg, VA. 22802",https://www.brotherscraftbrewing.com/contact/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pale Fire Brewing Co.,Brewery,"Community gatherings, local partnerships",hello@palefirebrewing.com,540-217-5452,"217 S Liberty St #105, Harrisonburg, VA 22801",https://www.palefirebrewing.com/contact/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restless Moons Brewing,Brewery,Community events and collaborations,,540-217-2726,"120 W Wolfe Street Harrisonburg, VA 22802",https://www.restlessmoons.com/contact-us.html ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three Notch'd Valley Collab House - Harrisonburg,Brewery / Taproom,Community collabs and events,info@threenb.com,434-956-3141,"520 2ND ST SE CHARLOTTESVILLE, VA 22902",https://threenotchdbrewing.com/pages/contact-us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Sheep Coffee,Cafe,Community cafe; student and downtown foot traffic,info@blacksheepcoffeehburg.com,540-217-5560,"80 East Market Street Harrisonburg, VA 22801",https://blacksheepcoffeehburg.com/,Downtown location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heritage Bakery & Cafe,Cafe,Local food; family-friendly atmosphere,,540-564-1200,"212 South Main Street Harrisonburg, VA 22801",https://heritagebakes.com/contact-us/,Downtown market proximity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
